Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
BFA;BURKINA FASO;;11396;21000;2850000;139322;154392;57870;141808;33012;606;2783;19266;;20820;;1560;21141;17996;40967;75590;66500;;;0;2600000;;233324;0;0;572;2500;386;;10013;1250000;1612;;442900;;;;;;;;979550;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
BDI;BURUNDI;12682;;;1335;3490;188000;85775;25701;16310;2155000;25620;230;10163;;731191;1297244;;24350;;;;;2068;;;3600;;;;;;;;;;;1530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KHM;CAMBODIA;;1500000;71500;1640023;0;178091;;36000;42368;600000;0;;2120000;1969182;3448053;661253;15069;227;1300000;;5029000;;380400;900000;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMR;CAMEROON;;2344;51980;16706;10964;1456;25000;10296;71;1400;2924;100;;2042;565;4115;2086;479;2825;;0;4070;7865;1543;187072;550;1340;0;10437;;0;;;;;;;;;;;;;400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;CANADA;0;100000;1500;9020;0;203;2400;500;3900;5900;1000;2878;739;1629;840;5700;13100;30600;12000;12100;4304;200;0;171;0;25000;0;250;8900;1000;30000;0;200;0;5000;0;;0;0;340;0;;;1500;0;;;;0;22;;;0;0;;0;;;;2006;0;8000;;;107000;;;;0;;;;;;;;;;0;;;;;25000;;;0;;;;;;11000;;;;2000000;;;22;;;2700;200;0;;0;;;18;;23;;;
CPV;CAPE VERDE IS;;;;;;20297;;;;;0;;30000;;;;10000;;;6306;12344;;0;;;;0;;;;5500;;2222;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;0
CYM;CAYMAN ISLANDS;;;;;;;0;;;;0;;300;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;CENTRAL AFRICAN REP;;41800;3893;4938;1585;23972;795;7812;;23805;12698;619;1477;4473;2572;46005;9200;;17500;3999;;;418;;;;;;;;;0;;1850;;;;;;;;13000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCD;CHAD;;;2215339;18123;149898;2413786;16205;173145;216;6000;3567;131;;979207;9673;173506;1000;358835;1317;80686;;300000;;12218;;;55492;0;0;500;;;;1500000;;;;100;;;;;;7476;;900000;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
CHL;CHILE;593387;0;28597;55932;2671706;;152755;25155;95862;29105;9000;285;255642;14959;181667;1000;;132448;;11833;;3626;38000;146051;2500;0;2000;202506;84924;1482275;323173;1524;8000;;;0;6000;16800;;;40000;;;2438973;;;120000;;3006;395350;2000;460;;;2003000;;35;;;;;55;;;;173;0;;0;;;35;16;;;58500;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;
